filename,labware_class,labware_subclass,manufacturer,total_positions,rows,columns,orientation,well_max_volume_ul,well_depth_mm,well_bottom_shape,well_top_shape,well_dx_mm,well_dy_mm,well_spacing_dx_mm,well_spacing_dy_mm,rack_dx_mm,rack_dy_mm,rack_dz_mm,stack_height_mm,connected_container,clld_capable,container_file,display_name,description,category_ids,category_names,vendor_folder,relative_path,data_type,read_only,file_type
Cos_384_Sq.rck,plate,standard,Corning-Costar,384,16,24,landscape,141.6,11.56,flat,square,3.5,3.5,4.5,4.5,127.0,86.0,14.24,13.0,No,Yes,corning-costar\\cos_384_sq.ctr,Cos_384_Sq.rck,,1004;1015,384 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_384_Sq.rck,1,Yes,rck
Cos_384_Sq_L.rck,plate,standard,Corning-Costar,384,16,24,landscape,141.6,11.56,flat,square,3.5,3.5,4.5,4.5,127.0,86.0,14.24,13.0,No,Yes,corning-costar\\cos_384_sq.ctr,Cos_384_Sq_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_Sq_L.rck,1,Yes,rck
Cos_384_Sq_P.rck,plate,standard,Corning-Costar,384,24,16,portrait,141.6,11.56,flat,square,3.5,3.5,4.5,4.5,86.0,127.0,14.24,13.0,No,Yes,corning-costar\\cos_384_sq.ctr,Cos_384_Sq_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_Sq_P.rck,0,Yes,rck
Cos_384_Sq_Rd.rck,plate,standard,Corning-Costar,384,16,24,landscape,110.2,11.6,round,square,3.6,2.8,4.5,4.5,127.0,86.0,14.5,13.0,No,Yes,corning-costar\\cos_384_sq_rd.ctr,Cos_384_Sq_Rd.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_Sq_Rd.rck,1,Yes,rck
Cos_384_Sq_Rd_L.rck,plate,standard,Corning-Costar,384,16,24,landscape,110.2,11.6,round,square,3.6,2.8,4.5,4.5,127.0,86.0,14.5,13.0,No,Yes,corning-costar\\cos_384_sq_rd.ctr,Cos_384_Sq_Rd_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_Sq_Rd_L.rck,1,Yes,rck
Cos_384_Sq_Rd_P.rck,plate,standard,Corning-Costar,384,24,16,portrait,110.2,11.6,round,square,3.6,2.8,4.5,4.5,86.0,127.0,14.5,13.0,No,Yes,corning-costar\\Cos_384_Sq_Rd.ctr,Cos_384_Sq_Rd_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_384_Sq_Rd_P.rck,0,Yes,rck
Cos_96_DW_1mL.rck,plate,deep_well,Corning-Costar,96,8,12,landscape,1291.8,40.0,round,round,6.5,6.5,9.0,9.0,127.0,86.0,42.0,0.0,No,Yes,corning-costar\\cos_96_dw_1ml.ctr,Cos_96_DW_1mL.rck,,1003;1006;1015,96 positions plates;Deep well plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_1mL.rck,1,Yes,rck
Cos_96_DW_1mL_L.rck,plate,deep_well,Corning-Costar,96,8,12,landscape,1291.8,40.0,round,round,6.5,6.5,9.0,9.0,127.0,86.0,42.0,0.0,No,Yes,corning-costar\\cos_96_dw_1ml.ctr,Cos_96_DW_1mL_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_1mL_L.rck,1,Yes,rck
Cos_96_DW_1mL_P.rck,plate,deep_well,Corning-Costar,96,12,8,portrait,1291.8,40.0,round,round,6.5,6.5,9.0,9.0,86.0,127.0,42.0,0.0,No,Yes,corning-costar\\cos_96_dw_1ml.ctr,Cos_96_DW_1mL_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_1mL_P.rck,0,Yes,rck
Cos_96_DW_2mL.rck,plate,deep_well,Corning-Costar,96,8,12,landscape,2566.0,42.0,round,square,8.0,8.0,9.0,9.0,127.0,86.0,43.5,0.0,No,Yes,corning-costar\\cos_96_dw_2ml.ctr,Cos_96_DW_2mL.rck,,1003;1006;1015,96 positions plates;Deep well plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_2mL.rck,1,Yes,rck
